Unnamed: 0,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made,throughput,service_received,inputratio,sysratio,outratio,service_ratio,tokenpersec
28,dummy-lora-7b-rank-8-25,653,5,4.034583568572998,3.8929977416992183,0.0,160990,35,0,2,24866,1,590,1,2000,4,2,35.31426916380109,0.3051852798935641,0.0262607576610633,0.0,0.00847457627118644,0.04320991020343618,4682.672091120025
29,dummy-lora-7b-rank-8-26,45,1,3.892549753189087,3.8920958042144775,0.0,160999,36,0,2,24866,1,590,1,2000,7,1,2202.890756302521,11.453997676513497,0.001809699991956889,0.0,0.001694915254237288,0.005199530500431465,103535.86554621848
30,dummy-lora-7b-rank-8-27,447,4,3.990954160690308,3.891052722930908,0.0,160997,37,0,2,24866,1,590,1,2000,2,2,40.03946379263831,0.31566788221092945,0.01797635325343843,0.0,0.006779661016949152,0.03153567528733674,4554.4890064126075
31,dummy-lora-7b-rank-8-28,83,1,3.89013409614563,3.889636754989624,0.0,160998,38,0,2,24866,1,590,1,2000,4,1,2010.692233940556,13.527377582786158,0.0033378910962760396,0.0,0.001694915254237288,0.006727721604750616,170908.83988494726
32,dummy-lora-7b-rank-8-27,364,4,3.988832950592041,3.8887434005737305,0.0,160997,39,0,2,24866,1,590,1,2000,2,1,39.9642120407998,0.28172555662306553,0.01463846215716239,0.0,0.006779661016949152,0.028197784191060695,3716.6717197943813
33,dummy-lora-7b-rank-8-29,606,7,4.075500249862671,3.8860678672790527,0.0,160996,40,0,2,24866,1,590,1,2000,1,1,36.95249938014214,0.2539135044476518,0.02437062655835277,0.0,0.011864406779661017,0.04809944011767481,3272.9356593840184
34,dummy-lora-7b-rank-8-24,122,1,3.887188673019409,3.8867454528808594,0.0,160995,41,0,2,24866,1,590,1,2000,5,1,2256.2151694459385,18.717850437913594,0.00490629775597201,0.0,0.001694915254237288,0.008296128264446586,279770.6810112964
35,dummy-lora-7b-rank-8-30,67,1,3.8853635787963863,3.8845815658569336,0.0,160994,42,0,2,24866,1,590,1,2000,4,1,1278.7512195129214,7.780271158914315,0.0026944422102469236,0.0,0.001694915254237288,0.0060842727187215,88233.83414639157
36,dummy-lora-7b-rank-8-31,1457,1,3.8842790126800537,3.88348913192749,0.0,160993,43,0,2,24866,1,590,1,2000,2,1,1266.0138846959378,78.47247130823706,0.05859406418402638,0.0,0.001694915254237288,0.06198389469250096,1847114.2577713733
37,dummy-lora-7b-rank-8-32,866,4,3.9835615158081055,3.88363528251648,0.0,160986,44,0,2,24866,1,590,1,2000,4,2,40.02952846552684,0.48421712093374053,0.034826670956325904,0.0,0.006779661016949152,0.04838599299022421,8746.451969717615
38,dummy-lora-7b-rank-8-33,1306,18,4.95490288734436,3.8825759887695312,0.0,160992,45,0,2,24866,1,590,1,2000,1,1,16.78592603050694,0.1058804592382852,0.0525215153221266,0.0,0.030508474576271188,0.11353846447466898,1251.4840407189063
39,dummy-lora-7b-rank-8-23,67,1,3.8816964626312256,3.8811943531036377,0.0,160980,46,0,2,24866,1,590,1,2000,4,1,1991.5973409306744,12.117421368102784,0.0026944422102469236,0.0,0.001694915254237288,0.0060842727187215,137420.21652421652
40,dummy-lora-7b-rank-8-34,997,1,3.880928039550781,3.8805418014526367,0.0,160991,47,0,2,24866,1,590,1,2000,2,1,2589.0765432128533,112.5853183000652,0.0400949087106893,0.0,0.001694915254237288,0.043484739219163876,2586487.4666696405
41,dummy-lora-7b-rank-8-35,746,1,3.878977060317993,3.8781721591949454,0.0,160985,48,0,2,24866,1,590,1,2000,3,2,1242.388625591046,41.48414490111315,0.030000804311107538,0.0,0.001694915254237288,0.03339063481958211,929306.6919421025
42,dummy-lora-7b-rank-8-37,561,3,3.946691513061523,3.876248836517334,0.0,160982,50,0,2,24866,1,590,1,2000,4,4,42.587819588571236,0.4646390469176405,0.022560926566395884,0.0,0.005084745762711864,0.03273041809181961,8049.097902239963
43,dummy-lora-7b-rank-8-38,1139,4,3.977009057998657,3.8771355152130127,0.0,160988,51,0,2,24866,1,590,1,2000,4,1,40.05064693244229,0.5944000578362297,0.0458055175741977,0.0,0.006779661016949152,0.05936483960809601,11484.523007877826
44,dummy-lora-7b-rank-8-39,116,1,3.8765830993652335,3.876186847686768,0.0,160987,52,0,2,24866,1,590,1,2000,2,1,2523.648616133635,20.327573029795225,0.004665004423711092,0.0,0.001694915254237288,0.008054834932185667,297790.536703769
45,dummy-lora-7b-rank-8-32,234,1,3.874601602554321,3.873786687850952,0.0,160986,53,0,2,24866,1,590,1,2000,4,1,1227.1222937396974,15.707497255524546,0.009410439958175823,0.0,0.001694915254237288,0.0128002704666504,289600.8613225686
46,dummy-lora-7b-rank-8-37,409,2,3.9154648780822754,3.872170448303223,0.0,160982,54,0,2,24866,1,590,1,2000,4,3,46.19531912550298,0.5365083518736411,0.016448162149119278,0.0,0.003389830508474576,0.02322782316606843,9539.333399416366
47,dummy-lora-7b-rank-8-35,113,1,3.873384714126587,3.872943878173828,0.0,160985,55,0,2,24866,1,590,1,2000,3,1,2268.4175229853977,17.998051693384763,0.0045443577575806325,0.0,0.001694915254237288,0.007934188266055209,260868.01514332072
48,dummy-lora-7b-rank-8-40,867,1,3.871411085128784,3.870613813400269,0.0,160984,56,0,2,24866,1,590,1,2000,4,1,1254.2775119624212,47.984539839918405,0.03486688651170273,0.0,0.001694915254237288,0.03825671702017731,1089967.157895344
49,dummy-lora-7b-rank-8-37,364,2,3.9125723838806152,3.869318008422852,0.0,160982,57,0,2,24866,1,590,1,2000,4,2,46.2380968129559,0.4951666264381919,0.01463846215716239,0.0,0.003389830508474576,0.021418123174111542,8507.809813583886
50,dummy-lora-7b-rank-8-41,1863,1,3.869154691696167,3.868287563323975,0.0,160983,58,0,2,24866,1,590,1,2000,2,1,1153.231784438314,90.31120729856082,0.0749215796670152,0.0,0.001694915254237288,0.07831141017548977,2150777.2779774554
51,dummy-lora-7b-rank-8-37,447,2,3.910764217376709,3.868484497070313,0.0,160982,59,0,2,24866,1,590,1,2000,4,1,47.30400261653202,0.5855292819106591,0.01797635325343843,0.0,0.003389830508474576,0.024756014270387584,10667.05259002797
52,dummy-lora-7b-rank-8-42,510,2,3.9097585678100586,3.8676388263702393,0.0,43233,60,0,2,24866,1,590,1,2000,1,1,47.4836723026327,0.6479050755361019,0.020509933242178074,0.0,0.003389830508474576,0.027289594259127227,12203.303781776604
53,dummy-lora-7b-rank-8-25,63,1,3.866996049880981,3.866588592529297,0.0,160990,61,0,2,24866,1,590,1,2000,4,1,2454.244587480732,14.537498152214555,0.0025335799887396446,0.0,0.001694915254237288,0.005923410497214221,159525.8981862476
54,dummy-lora-7b-rank-8-3,533,4,3.965344667434693,3.864008903503418,0.0,161000,62,0,2,24866,1,590,1,2000,1,1,39.47273741097733,0.3453293456540777,0.021434891015844927,0.0,0.006779661016949152,0.034994213049743234,5338.687734834683
55,dummy-lora-7b-rank-8-14,100,1,3.8646233081817623,3.864153861999512,0.0,125891,63,0,2,1957,1,11,1,2000,1,1,2130.1696292574584,496.15229809527085,0.05109862033725089,0.0,0.09090909090909091,0.2329168021554327,217277.30218426074
56,dummy-lora-7b-rank-8-14,186,1,3.8627636432647705,3.8619351387023926,0.0,112524,64,0,2,1957,1,11,1,2000,1,1,1206.9939568345324,334.1702969635255,0.09504343382728667,0.0,0.09090909090909091,0.2768616156454685,226914.86388489208
57,dummy-lora-7b-rank-8-43,205,6,4.023922681808472,3.862105369567871,0.0,53181,65,0,2,18182,1,501,1,2000,2,2,37.07885093950149,0.21769600898532376,0.01127488725112749,0.0,0.011976047904191617,0.035226983059510726,1341.0184423119708
58,dummy-lora-7b-rank-8-44,45,1,3.8613531589508057,3.860836982727051,0.0,53184,66,0,2,18182,1,501,1,2000,1,1,1937.3228637413395,12.528649946849075,0.0024749752502474976,0.0,0.001996007984031936,0.006466991218311369,91054.17459584295
59,dummy-lora-7b-rank-8-14,50,1,3.8605592250823975,3.860127687454224,0.0,53183,67,0,2,18182,1,501,1,2000,1,1,2317.2950276266943,15.623176353998172,0.002749972500274997,0.0,0.001996007984031936,0.0067419884683388685,120499.34143658809
60,dummy-lora-7b-rank-8-45,748,5,4.850758075714111,4.742356300354004,0.0,53182,68,0,2,18182,1,501,1,2000,1,1,46.124705830602416,0.5636408466693655,0.04113958860411396,0.0,0.00998003992015968,0.06109966844443332,6992.505403919326
61,dummy-lora-7b-rank-8-43,749,5,4.849473476409912,4.740638971328735,0.0,53181,69,0,2,18182,1,501,1,2000,2,1,45.94131241990427,0.5619051407347806,0.041194588054119456,0.0,0.00998003992015968,0.06115466789443882,6973.891225341468
62,dummy-lora-7b-rank-8-46,89,4,4.821035623550415,4.740307331085205,0.0,40664,70,0,2,18182,1,501,1,2000,2,2,49.548923653052725,0.25843498339489773,0.004894951050489495,0.0,0.007984031936127744,0.020863014922744984,1201.5613985865286
63,dummy-lora-7b-rank-8-44,89,3,4.755480051040649,4.700841188430786,0.0,40667,71,0,2,18182,1,501,1,2000,1,1,54.90597455186497,0.30877287975675394,0.004894951050489495,0.0,0.005988023952095809,0.016870998954681114,1738.6891941423908
64,dummy-lora-7b-rank-8-14,205,6,4.83509087562561,4.69995379447937,0.0,40666,72,0,2,18182,1,501,1,2000,3,1,44.39936062779858,0.260675920781428,0.01127488725112749,0.0,0.011976047904191617,0.035226983059510726,1605.7768760387153
65,dummy-lora-7b-rank-8-44,768,3,4.752748966217041,4.698375701904297,0.0,40665,73,0,2,18182,1,501,1,2000,1,1,55.174174990572574,0.9971008030082237,0.042239577604223956,0.0,0.005988023952095809,0.05421562550841558,14234.937147567724
66,dummy-lora-7b-rank-8-46,747,3,4.751768350601196,4.697294235229492,0.0,40664,74,0,2,18182,1,501,1,2000,2,1,55.07202787102648,0.9740522943097074,0.04108458915410846,0.0,0.005988023952095809,0.05306063705830008,13823.078995627646
67,dummy-lora-7b-rank-8-47,155,15,6.041968584060669,4.696162223815918,0.0,40663,75,0,2,4476,1,400,1,2000,1,1,11.145734217864797,0.08145981204507381,0.03462913315460232,0.0,0.0375,0.10962913315460232,137.46405535366583
68,dummy-lora-7b-rank-8-48,175,8,4.884000778198242,4.695008754730225,0.0,40662,76,0,2,4476,1,400,1,2000,1,1,42.3298288107583,0.4185224696202209,0.03909740840035746,0.0,0.02,0.07909740840035746,1010.6246628568545
69,dummy-lora-7b-rank-8-49,549,17,6.0887978076934814,4.693936586380005,0.0,40661,77,0,2,4476,1,400,1,2000,1,1,12.187592385708367,0.14887083555196995,0.12265415549597855,0.0,0.0425,0.20765415549597854,417.96272710988103
70,dummy-lora-7b-rank-8-50,1043,8,4.881377220153809,4.69289231300354,0.0,53179,78,0,2,18182,1,501,1,2000,2,2,42.44371669304028,0.47378092734530225,0.05736442635573644,0.0,0.015968063872255488,0.08930055410024743,5618.486997241206
71,dummy-lora-7b-rank-8-51,164,20,6.230784177780151,4.69112753868103,0.0,40660,79,0,2,4476,1,400,1,2000,1,1,12.98990923827168,0.0887469670478883,0.03663985701519214,0.0,0.05,0.13663985701519216,132.49707423037114
72,dummy-lora-7b-rank-8-52,514,8,4.879290342330933,4.689856052398682,0.0,29127,80,0,2,4476,1,400,1,2000,1,1,42.231002649315016,0.8173529400156747,0.11483467381590706,0.0,0.02,0.15483467381590707,2797.8039255171198
73,dummy-lora-7b-rank-8-53,390,50,9.981385946273804,4.688035726547241,0.0,29126,81,0,2,4476,1,400,1,2000,2,1,9.44581369539211,0.06368960172630338,0.0871313672922252,0.0,0.125,0.3371313672922252,92.56897421484268
74,dummy-lora-7b-rank-8-54,209,12,5.952953815460205,4.687611103057861,0.0,29125,82,0,2,4476,1,400,1,2000,1,1,9.483596722359225,0.08431982519231962,0.0466934763181412,0.0,0.03,0.10669347631814119,184.13983635914164
75,dummy-lora-7b-rank-8-55,539,22,7.189635276794434,4.686683654785156,0.0,29124,83,0,2,4476,1,400,1,2000,1,1,8.789622542659938,0.09205931742625065,0.12042001787310098,0.0,0.055,0.23042001787310099,232.92499738048835
76,dummy-lora-7b-rank-8-14,176,6,4.8210108280181885,4.685482025146484,0.0,29123,84,0,2,3510,1,263,1,2000,1,1,44.271032229804256,0.7066381797747039,0.05014245014245014,0.0,0.022813688212927757,0.09576982656830565,1387.1590098672
77,dummy-lora-7b-rank-8-14,263,29,7.373016834259033,4.684198617935181,0.0,29122,85,0,2,3510,1,263,1,2000,1,1,10.785407441804953,0.10988511329128221,0.07492877492877494,0.0,0.11026615969581749,0.2954610943204099,119.38330306273758
78,dummy-lora-7b-rank-8-14,155,12,5.950027942657471,4.68382740020752,0.0,29121,86,0,2,3510,1,263,1,2000,1,1,9.47717174151687,0.10694537908603666,0.04415954415954416,0.0,0.045627376425855515,0.13541429701125518,141.36781181095998
79,dummy-lora-7b-rank-8-14,87,6,4.81768798828125,4.682055473327637,0.0,29120,87,0,2,3510,1,263,1,2000,1,1,44.23718016326703,0.5191505977476123,0.024786324786324785,0.0,0.022813688212927757,0.0704137012121803,729.913472693906
80,dummy-lora-7b-rank-8-14,16,1,4.681600332260132,4.681197166442871,0.0,29119,88,0,2,3510,1,263,1,2000,1,1,2480.3690124186874,30.168647180177242,0.004558404558404558,0.0,0.0038022813688212928,0.012162967296047144,44646.64222353637
81,dummy-lora-7b-rank-8-14,136,16,6.051904439926148,4.680707693099976,0.0,6116,89,0,2,3510,1,263,1,2000,1,1,11.668639119101066,0.11699228642427385,0.038746438746438745,0.0,0.060836501901140684,0.16041944254872012,122.5207107505612
82,dummy-lora-7b-rank-8-14,22,1,4.679471492767334,4.679039001464844,0.0,6115,90,0,2,3510,1,263,1,2000,1,1,2312.1852260198457,32.07548666429445,0.0062678062678062675,0.0,0.0038022813688212928,0.013872369005448852,55492.4454244763
83,dummy-lora-7b-rank-8-14,175,10,4.9455156326293945,4.6772849559783936,0.0,6114,91,0,2,3510,1,263,1,2000,1,1,37.28134352436933,0.46938396012694045,0.04985754985754986,0.0,0.03802281368821293,0.1259031772339757,726.986198725202
84,dummy-lora-7b-rank-8-14,167,7,4.838675260543823,4.676856279373169,0.0,6113,92,0,2,3510,1,263,1,2000,1,1,43.25821327856341,0.6229818406502704,0.04757834757834758,0.0,0.026615969581749048,0.10081028674184567,1118.5338004885682
85,dummy-lora-7b-rank-8-56,536,12,5.9408793449401855,4.675090551376343,0.0,40659,93,0,2,4476,1,400,1,2000,1,1,9.480254574077767,0.14200613680592808,0.11974977658623771,0.0,0.03,0.1797497765862377,442.41188012362915
86,dummy-lora-7b-rank-8-14,101,1,4.675372362136841,4.675168514251709,0.0,125890,94,0,2,1957,1,11,1,2000,1,1,4905.6187134502925,1145.1077268122692,0.0516096065406234,0.0,0.09090909090909091,0.23342778835880523,505278.72748538014
87,dummy-lora-7b-rank-8-57,192,1,4.674234628677368,4.674102783203125,0.0,53185,95,0,2,18182,1,501,1,2000,1,1,7584.636528028933,110.3709509382295,0.010559894401055989,0.0,0.001996007984031936,0.014551910369119861,1471419.486437613
88,dummy-lora-7b-rank-8-44,448,21,6.212376594543457,4.673049449920654,0.0,53153,96,0,2,18182,1,501,1,2000,4,4,13.642324228061247,0.07046720985251341,0.024639753602463975,0.0,0.041916167664670656,0.1084720889318053,318.3208986547624
89,dummy-lora-7b-rank-8-14,119,1,4.670886754989624,4.670392274856567,0.0,112523,97,0,2,1957,1,11,1,2000,1,1,2022.3259402121505,490.6679233394371,0.060807358201328564,0.0,0.09090909090909091,0.2426255400195104,244701.4387656702
90,dummy-lora-7b-rank-8-14,116,1,5.90334153175354,5.902081251144409,0.0,112522,98,0,2,1957,1,11,1,2000,1,1,793.474082482028,191.30071482704165,0.05927439959121104,0.0,0.09090909090909091,0.24109258140939285,93629.9417328793
91,dummy-lora-7b-rank-8-14,172,1,5.902133941650391,5.90070390701294,0.0,112521,99,0,2,1957,1,11,1,2000,1,1,699.2837612541856,188.6022909760673,0.08788962698007154,0.0,0.09090909090909091,0.26970780879825335,121675.37445822828
92,dummy-lora-7b-rank-8-44,319,6,6.039003133773804,5.899718761444092,0.0,112520,100,0,2,12115,1,177,1,2000,1,1,43.07733810794572,0.675794442907237,0.02633099463475031,0.0,0.03389830508474576,0.09412760480424184,2376.433152288339
93,dummy-lora-7b-rank-8-58,566,5,6.01267409324646,5.898610830307007,0.0,53078,101,0,2,12115,1,177,1,2000,1,1,43.83532323333668,0.9049023843422263,0.04671894345852249,0.0,0.02824858757062147,0.10321611859976543,5049.829236480386
94,dummy-lora-7b-rank-8-59,342,17,7.300755500793457,5.897453308105469,0.0,53101,102,0,2,12115,1,177,1,2000,1,1,12.11428307358157,0.15700101106544642,0.0282294676021461,0.0,0.096045197740113,0.22031986308237209,267.9394373921571
95,dummy-lora-7b-rank-8-60,1116,7,6.059758424758911,5.896486282348633,0.0,112519,103,0,2,12115,1,177,1,2000,1,1,42.87320480189482,1.0486372796999743,0.09211721007016095,0.0,0.03954802259887006,0.17121325526790107,6920.96020373445
96,dummy-lora-7b-rank-8-61,422,9,6.192698240280151,5.895507335662842,0.0,112518,104,0,2,12115,1,177,1,2000,1,1,30.283564739604767,0.45939416371644776,0.03483285183656624,0.0,0.05084745762711865,0.13652776709080353,1480.529831714011
97,dummy-lora-7b-rank-8-62,618,6,6.033783197402954,5.894453048706055,0.0,112517,105,0,2,12115,1,177,1,2000,1,1,43.063185219535484,0.8527067148894171,0.05101114321089558,0.0,0.03389830508474576,0.1188077533803871,4521.634448051226
98,dummy-lora-7b-rank-8-63,749,6,6.031991481781006,5.8930344581604,0.0,112516,106,0,2,12115,1,177,1,2000,1,1,43.17881776441763,0.9328121147596965,0.06182418489475856,0.0,0.03389830508474576,0.1296207950642501,5476.5133864536365
99,dummy-lora-7b-rank-8-64,393,5,6.006171703338623,5.892277717590332,0.0,112515,107,0,2,12115,1,177,1,2000,1,1,43.90047435033263,0.7808691530857799,0.03243912505158894,0.0,0.02824858757062147,0.08893630019283189,3538.37823263681
100,dummy-lora-7b-rank-8-65,1014,6,6.0297017097473145,5.890719175338745,0.0,112514,108,0,2,12115,1,177,1,2000,1,1,43.1708921234786,1.0900254912276661,0.08369789517127528,0.0,0.03389830508474576,0.1514945053407668,7382.2225531148415
101,dummy-lora-7b-rank-8-66,409,15,7.238823175430298,5.889626979827881,0.0,112513,109,0,2,12115,1,177,1,2000,1,1,11.117730726554925,0.15064623513220768,0.03375980189847297,0.0,0.0847457627118644,0.20325132732220177,325.3789192638408
102,dummy-lora-7b-rank-8-67,1071,4,5.9760730266571045,5.88832950592041,0.0,53186,110,0,2,18182,1,501,1,2000,1,1,45.5874116563367,0.853310582929849,0.05890441095589044,0.0,0.007984031936127744,0.07487247482814594,12297.204294296824
103,dummy-lora-7b-rank-8-68,548,5,6.001501083374023,5.887528896331787,0.0,112512,111,0,2,12115,1,177,1,2000,1,1,43.870352318035955,0.8925893218958867,0.04523318200577796,0.0,0.02824858757062147,0.10173035714702089,4895.931318692813
104,dummy-lora-7b-rank-8-69,393,5,6.000296354293823,5.88637375831604,0.0,112510,112,0,2,12115,1,177,1,2000,1,1,43.889449297443,0.7806730476030931,0.03243912505158894,0.0,0.02824858757062147,0.08893630019283189,3537.489613373906
105,dummy-lora-7b-rank-8-70,447,6,6.0246171951293945,5.885229110717773,0.0,112509,113,0,2,12115,1,177,1,2000,1,1,43.045286297798974,0.7510901668621079,0.036896409409822535,0.0,0.03389830508474576,0.10469301957931407,3292.9644017816213
106,dummy-lora-7b-rank-8-71,713,6,6.023237228393555,5.883925437927246,0.0,112508,114,0,2,12115,1,177,1,2000,1,1,43.06886000041074,0.9091066286265994,0.0588526619892695,0.0,0.03389830508474576,0.12664927215876104,5204.153916716297
107,dummy-lora-7b-rank-8-72,413,9,6.180248022079468,5.88260555267334,0.0,53513,115,0,2,12115,1,177,1,2000,1,1,30.237620383802344,0.45620131641615685,0.034089971110193976,0.0,0.05084745762711865,0.13578488636443126,1448.0460428243123
108,dummy-lora-7b-rank-8-73,355,6,6.01967453956604,5.8812549114227295,0.0,53512,116,0,2,12115,1,177,1,2000,1,1,43.3464536820457,0.7014838069728151,0.029302517540239374,0.0,0.03389830508474576,0.09709912770973089,2651.3580835517955
109,dummy-lora-7b-rank-8-74,460,8,6.1776649951934814,5.880265235900879,0.0,53511,117,0,2,12115,1,177,1,2000,1,1,26.899820023489138,0.43162422148301116,0.037969459347915804,0.0,0.04519774011299435,0.1283649395739045,1600.5392913976038
