Unnamed: 0,adapter_dir,prompt_len,output_len,request_latency,first_token_latency,req_time,interaction_id,req_id,sys_len,app,input99app,sys99app,output99app,priorityfactor,app_limit,llmcalls,llmcalls_made,throughput,service_received,inputratio,sysratio,outratio,service_ratio,tokenpersec,avg_throughput,avg_service,avg_response,avg_serviceratio,avg_tokenpersec
13,dummy-lora-7b-rank-8-3,140,1,2.4178099632263184,2.4174225330352783,0.0,160976,14,0,2,24866,1,590,1,2000,4,2,2581.110153846154,23.281634910835244,0.005630177752754766,0.0,0.001694915254237288,0.009020008261229341,366517.6418461538,681.439878629972,6.371487515113655,17.34514421224594,0.048274094108290685,99251.17750053968
14,dummy-lora-7b-rank-8-14,959,9,2.6447436809539795,2.41682767868042,0.0,142163,15,0,2,56808,1,157,1,2000,1,1,39.48823211280099,0.5771034300705985,0.016881425151387127,0.0,0.05732484076433121,0.13153110668004955,4286.666974911842,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
15,dummy-lora-7b-rank-8-14,197,6,2.56125807762146,2.4159841537475586,0.0,142160,17,0,2,56808,1,157,1,2000,1,1,41.30128683801531,0.5500019571445159,0.003467821433600901,0.0,0.03821656050955414,0.07990094245270918,1438.6614915241998,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
16,dummy-lora-7b-rank-8-14,1282,12,3.7215404510498047,2.4150960445404053,0.0,129887,20,0,2,56808,1,157,1,2000,1,1,9.185235850993452,0.13428316215695638,0.022567244050133783,0.0,0.07643312101910828,0.17543348608835033,999.6598351164541,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
17,dummy-lora-7b-rank-8-15,471,1,2.4138104915618896,2.413513660430908,0.0,129886,21,0,2,23936,1,634,1,2000,3,3,3368.918875502008,76.91931543376901,0.019677473262032084,0.0,0.0015772870662460567,0.0228320473945242,1593498.6281124498,3368.918875502008,76.91931543376901,2.413513660430908,0.0228320473945242,1593498.6281124498
18,dummy-lora-7b-rank-8-17,726,3,2.476755857467652,2.412599563598633,0.0,125897,23,0,2,23936,1,634,1,2000,5,2,46.760805824051765,0.6202759285263871,0.030330882352941176,0.0,0.00473186119873817,0.03979460475041752,11409.63662106863,1347.1933258365907,26.784302746472694,74.84711076418559,0.048197440629131866,732629.6118605619
19,dummy-lora-7b-rank-8-17,64,1,2.4117820262908936,2.4115240573883057,0.0,125897,24,0,2,23936,1,634,1,2000,5,1,3876.4362292051756,22.593308206791413,0.00267379679144385,0.0,0.0015772870662460567,0.005828370923935964,255844.7911275416,1347.1933258365907,26.784302746472694,74.84711076418559,0.048197440629131866,732629.6118605619
20,dummy-lora-7b-rank-8-19,224,1,3.6723902225494394,3.671732902526856,0.0,125894,27,0,2,23936,1,634,1,2000,4,1,1521.3289807751783,19.036180966109217,0.009358288770053475,0.0,0.0015772870662460567,0.012512862902545588,343820.34965519025,718.1985216575036,31.269311022449276,58.666601987985466,0.06088280234990221,694601.2664117087
21,dummy-lora-7b-rank-8-20,661,3,3.743602991104126,3.6725242137908936,0.0,125893,28,0,2,23936,1,634,1,2000,1,1,42.206691130595786,0.52166105391355,0.027615307486631015,0.0,0.00473186119873817,0.037079029884107356,9383.954328035798,42.206691130595786,0.52166105391355,3.6725242137908936,0.037079029884107356,9383.954328035798
22,dummy-lora-7b-rank-8-14,828,8,3.890036582946777,3.67134165763855,0.0,142162,29,0,2,56808,1,157,1,2000,1,1,36.580638479493096,0.5326426288818443,0.014575411913814956,0.0,0.050955414012738856,0.11648623993929266,3859.2573595865215,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
23,dummy-lora-7b-rank-8-14,219,1,3.6702167987823486,3.669614553451538,0.0,125892,30,0,2,1957,1,11,1,2000,1,1,1660.4528899445763,487.7151309109285,0.11190597853857946,0.0,0.09090909090909091,0.2937241603567613,366960.08867775137,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
24,dummy-lora-7b-rank-8-21,904,11,3.969125509262085,3.669339656829834,0.0,160979,31,0,2,24866,1,590,1,2000,3,1,36.69285895499657,0.245652011448766,0.03635486206064506,0.0,0.01864406779661017,0.0736429976538654,3088.8715811206202,56.71493059728036,0.5842381864258629,19.24399709701538,0.04997551458172739,7789.309392292026
25,dummy-lora-7b-rank-8-22,358,6,3.832235336303711,3.667417049407959,0.0,160981,32,0,2,24866,1,590,1,2000,1,1,36.40372748076806,0.21075423443588903,0.014397168824901472,0.0,0.010169491525423728,0.034736151875748925,2244.896527980697,593.882239657134,36.03278916443057,32.09264689683914,0.15406740023558246,844125.8384919831
26,dummy-lora-7b-rank-8-23,658,7,3.858512163162232,3.667163848876953,0.0,160980,33,0,2,24866,1,590,1,2000,4,2,36.582501529455804,0.2622999276724269,0.026461835437947397,0.0,0.011864406779661017,0.05019064899726943,3511.920146827757,1628.5523033413547,69.68700698197861,20.46359986729092,0.06208888689452257,1597532.9169380912
27,dummy-lora-7b-rank-8-24,742,2,3.710039138793945,3.665588617324829,0.0,160995,34,0,2,24866,1,590,1,2000,5,2,44.993847853722045,0.8238284253198855,0.02983994208960026,0.0,0.003389830508474576,0.03661960310654941,16782.70524943832,2337.1039567877237,41.52481271935245,72.33929141362508,0.03422268860659016,1223767.6146019986
28,dummy-lora-7b-rank-8-25,653,5,3.801347255706787,3.665146350860596,0.0,160990,35,0,2,24866,1,590,1,2000,4,2,36.71047564365599,0.31725127121756125,0.0262607576610633,0.0,0.00847457627118644,0.04320991020343618,4867.809070348784,647.5708036179849,31.02112826480437,20.92530643939972,0.0638068293732613,716694.074488222
29,dummy-lora-7b-rank-8-26,45,1,3.663959503173828,3.663365125656128,0.0,160999,36,0,2,24866,1,590,1,2000,7,1,1682.4324107501002,8.747858634609585,0.001809699991956889,0.0,0.001694915254237288,0.005199530500431465,79074.32330525471,332.226815150148,1.9539361036006528,27.736594319343567,0.05188800682951428,19845.32592273121
30,dummy-lora-7b-rank-8-27,447,4,3.7709667682647705,3.662992477416992,0.0,160997,37,0,2,24866,1,590,1,2000,2,2,37.045855717998485,0.2920665191660818,0.01797635325343843,0.0,0.006779661016949152,0.03153567528733674,4213.9660879223275,40.18934321556768,0.420809898923635,35.096120595932,0.04531941500665685,3323.3873223387927
31,dummy-lora-7b-rank-8-28,83,1,3.662252426147461,3.662098646163941,0.0,160998,38,0,2,24866,1,590,1,2000,4,1,6502.796899243585,43.74900719034638,0.0033378910962760396,0.0,0.001694915254237288,0.006727721604750616,552737.7364357047,866.5964920723737,13.571414638865607,121.23961019515991,0.047141637878939095,265027.6084408253
32,dummy-lora-7b-rank-8-27,364,4,3.769261121749878,3.661044120788574,0.0,160997,39,0,2,24866,1,590,1,2000,2,1,36.962768922327854,0.26056704529396146,0.01463846215716239,0.0,0.006779661016949152,0.028197784191060695,3437.53750977649,40.18934321556768,0.420809898923635,35.096120595932,0.04531941500665685,3323.3873223387927
33,dummy-lora-7b-rank-8-29,606,7,3.85123610496521,3.6582672595977774,0.0,160996,40,0,2,24866,1,590,1,2000,1,1,36.27528571605059,0.24926013329295993,0.02437062655835277,0.0,0.011864406779661017,0.04809944011767481,3212.953877707338,39.14448937157892,0.40361044769951465,8.619380474090576,0.06389107095456129,2152.654948206063
34,dummy-lora-7b-rank-8-24,122,1,3.659158229827881,3.6589841842651367,0.0,160995,41,0,2,24866,1,590,1,2000,5,1,5745.621917808219,47.666416389152566,0.00490629775597201,0.0,0.001694915254237288,0.008296128264446586,712457.1178082192,2337.1039567877237,41.52481271935245,72.33929141362508,0.03422268860659016,1223767.6146019986
35,dummy-lora-7b-rank-8-30,67,1,3.657837867736816,3.657242774963379,0.0,160994,42,0,2,24866,1,590,1,2000,4,1,1680.4102564115103,10.224074279344354,0.0026944422102469236,0.0,0.001694915254237288,0.0060842727187215,115948.30769239421,995.3206924333103,24.296480081190747,139.2626671857304,0.058934873578522756,520773.0349463476
36,dummy-lora-7b-rank-8-31,1457,1,3.656451463699341,3.655851602554321,0.0,160993,43,0,2,24866,1,590,1,2000,2,1,1667.0524642277007,103.33040438956402,0.05859406418402638,0.0,0.001694915254237288,0.06198389469250096,2432229.545308215,681.4411565562156,36.51658264671812,22.88385883967082,0.12087612568782517,819390.6885773228
37,dummy-lora-7b-rank-8-32,866,4,3.764118194580078,3.6551413536071777,0.0,160986,44,0,2,24866,1,590,1,2000,4,2,36.70504635929658,0.4440025289616948,0.034826670956325904,0.0,0.006779661016949152,0.04838599299022421,8020.052629506303,867.0690333437249,43.71812177237749,17.376135396957398,0.05833174569044819,1013438.7949329577
38,dummy-lora-7b-rank-8-33,1306,18,4.910595893859863,3.6541190147399902,0.0,160992,45,0,2,24866,1,590,1,2000,1,1,14.325770970500068,0.09036255768924256,0.0525215153221266,0.0,0.030508474576271188,0.11353846447466898,1068.0658134672829,27.869703330461817,0.3834171160377321,8.002445340156555,0.10577277875831632,1838.562430981984
39,dummy-lora-7b-rank-8-23,67,1,3.653939247131348,3.653753280639648,0.0,160980,46,0,2,24866,1,590,1,2000,4,1,5377.312820487138,32.71703769372126,0.0026944422102469236,0.0,0.001694915254237288,0.0060842727187215,371034.58461361256,1628.5523033413547,69.68700698197861,20.46359986729092,0.06208888689452257,1597532.9169380912
40,dummy-lora-7b-rank-8-34,997,1,3.652596950531006,3.6519992351531982,0.0,160991,47,0,2,24866,1,590,1,2000,2,1,1673.0370961308336,72.7515818292365,0.0400949087106893,0.0,0.001694915254237288,0.043484739219163876,1671364.0590347028,583.4352263321321,24.564526714384982,11.637449741363525,0.07951418208794934,559167.8815092243
41,dummy-lora-7b-rank-8-35,746,1,3.6516754627227774,3.6510958671569824,0.0,160985,48,0,2,24866,1,590,1,2000,3,2,1725.3410119318912,57.610231668666046,0.030000804311107538,0.0,0.001694915254237288,0.03339063481958211,1290555.0769250547,848.6366366584665,17.812501011904068,18.368153631687164,0.051235934522745566,370039.91749372595
42,dummy-lora-7b-rank-8-37,561,3,3.721864461898804,3.650687694549561,0.0,160982,50,0,2,24866,1,590,1,2000,4,4,42.14858459755407,0.4598469319521244,0.022560926566395884,0.0,0.005084745762711864,0.03273041809181961,7966.08248893772,298.4049870708062,17.21902351264539,20.01302249091012,0.060334668893329,401864.9262577607
43,dummy-lora-7b-rank-8-38,1139,4,3.757819175720215,3.648679733276367,0.0,160988,51,0,2,24866,1,590,1,2000,4,1,36.650361321554335,0.5439357053582097,0.0458055175741977,0.0,0.006779661016949152,0.05936483960809601,10509.491108955706,34.42345479414849,0.46335195828192327,29.35864315032959,0.12090563866237403,6109.849200521201
44,dummy-lora-7b-rank-8-39,116,1,3.6483306884765625,3.64776611328125,0.0,160987,52,0,2,24866,1,590,1,2000,2,1,1771.2432432432433,14.267071949073511,0.004665004423711092,0.0,0.001694915254237288,0.008054834932185667,209006.7027027027,619.0096281344403,5.118370293623734,8.858267625172934,0.04940835718728843,72197.44375731605
45,dummy-lora-7b-rank-8-32,234,1,3.647270202636719,3.6466493606567374,0.0,160986,53,0,2,24866,1,590,1,2000,4,1,1610.7158218091395,20.617598164070056,0.009410439958175823,0.0,0.001694915254237288,0.0128002704666504,380128.93394695694,867.0690333437249,43.71812177237749,17.376135396957398,0.05833174569044819,1013438.7949329577
46,dummy-lora-7b-rank-8-37,409,2,3.690221071243286,3.645758628845215,0.0,160982,54,0,2,24866,1,590,1,2000,4,3,44.981784448412505,0.5224144674309663,0.016448162149119278,0.0,0.003389830508474576,0.02322782316606843,9288.738488597182,298.4049870708062,17.21902351264539,20.01302249091012,0.060334668893329,401864.9262577607
47,dummy-lora-7b-rank-8-35,113,1,3.645458936691284,3.6448395252227774,0.0,160985,55,0,2,24866,1,590,1,2000,3,1,1614.4357197821346,12.809236944195808,0.0045443577575806325,0.0,0.001694915254237288,0.007934188266055209,185660.10777494547,848.6366366584665,17.812501011904068,18.368153631687164,0.051235934522745566,370039.91749372595
48,dummy-lora-7b-rank-8-40,867,1,3.6434288024902335,3.642731666564941,0.0,160984,56,0,2,24866,1,590,1,2000,4,1,1434.440492476974,54.87698400297537,0.03486688651170273,0.0,0.001694915254237288,0.03825671702017731,1246528.7879624905,514.3714050435301,19.26017947929965,20.428674300511677,0.09127356488355583,431693.7331942126
49,dummy-lora-7b-rank-8-37,364,2,3.687309741973877,3.6428921222686768,0.0,160982,57,0,2,24866,1,590,1,2000,4,2,45.027176451012075,0.4821988057051156,0.01463846215716239,0.0,0.003389830508474576,0.021418123174111542,8285.000466986221,298.4049870708062,17.21902351264539,20.01302249091012,0.060334668893329,401864.9262577607
50,dummy-lora-7b-rank-8-41,1863,1,4.704304456710815,4.703860282897949,0.0,160983,58,0,2,24866,1,590,1,2000,2,1,2251.370907139023,176.30803056612854,0.0749215796670152,0.0,0.001694915254237288,0.07831141017548977,4198806.741814278,759.2752080274703,58.85526784780328,21.388442118962605,0.1606852764768763,1399963.845971924
51,dummy-lora-7b-rank-8-37,447,2,4.731414794921875,4.702127695083618,0.0,160982,59,0,2,24866,1,590,1,2000,4,1,68.28945204698833,0.8452873246960959,0.01797635325343843,0.0,0.003389830508474576,0.024756014270387584,15399.27143659587,298.4049870708062,17.21902351264539,20.01302249091012,0.060334668893329,401864.9262577607
52,dummy-lora-7b-rank-8-42,510,2,4.73072075843811,4.701737642288208,0.0,43233,60,0,2,24866,1,590,1,2000,1,1,69.00569247474581,0.9415686746029611,0.020509933242178074,0.0,0.003389830508474576,0.027289594259127227,17734.462966009673,68.22740385829164,0.9309490843231951,90.95208460092545,0.027289594259127227,17534.44279158095
53,dummy-lora-7b-rank-8-25,63,1,4.7012224197387695,4.70074987411499,0.0,160990,61,0,2,24866,1,590,1,2000,4,1,2116.1977800201817,12.535108144352975,0.0025335799887396446,0.0,0.001694915254237288,0.005923410497214221,137552.8557013118,647.5708036179849,31.02112826480437,20.92530643939972,0.0638068293732613,716694.074488222
54,dummy-lora-7b-rank-8-3,533,4,4.783932685852051,4.699781179428101,0.0,161000,62,0,2,24866,1,590,1,2000,1,1,47.53331425641084,0.4158477315123096,0.021434891015844927,0.0,0.006779661016949152,0.034994213049743234,6428.8807531795655,681.439878629972,6.371487515113655,17.34514421224594,0.048274094108290685,99251.17750053968
55,dummy-lora-7b-rank-8-14,100,1,4.698503255844116,4.69811749458313,0.0,125891,63,0,2,1957,1,11,1,2000,1,1,2592.276885043263,603.7848423657231,0.05109862033725089,0.0,0.09090909090909091,0.2329168021554327,264412.2422744128,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
56,dummy-lora-7b-rank-8-14,186,1,4.69842267036438,4.698246002197266,0.0,112524,64,0,2,1957,1,11,1,2000,1,1,5660.329284750337,1567.1279108613376,0.09504343382728667,0.0,0.09090909090909091,0.2768616156454685,1064141.9055330635,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
57,dummy-lora-7b-rank-8-43,205,6,4.835788726806641,4.696691989898682,0.0,53181,65,0,2,18182,1,501,1,2000,2,2,43.13544755525236,0.25325528004888137,0.01127488725112749,0.0,0.011976047904191617,0.035226983059510726,1560.0653532482936,43.862292674226,0.3993110313686902,4.694370627403259,0.04819082547697477,4164.348235127999
58,dummy-lora-7b-rank-8-44,45,1,4.696103096008301,4.695712327957153,0.0,53184,66,0,2,18182,1,501,1,2000,1,1,2559.0628431970713,16.549436934062385,0.0024749752502474976,0.0,0.001996007984031936,0.006466991218311369,120275.95363026236,992.7574800159944,12.129870606199004,131.56644065930294,0.05369877530142271,165064.4114634325
59,dummy-lora-7b-rank-8-14,50,1,4.6953558921813965,4.695109605789185,0.0,53183,67,0,2,18182,1,501,1,2000,1,1,4060.3136495643757,27.374587803201926,0.002749972500274997,0.0,0.001996007984031936,0.0067419884683388685,211136.30977734755,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
60,dummy-lora-7b-rank-8-45,748,5,4.805396795272827,4.693513631820679,0.0,53182,68,0,2,18182,1,501,1,2000,1,1,44.68947646567449,0.5461024390016035,0.04113958860411396,0.0,0.00998003992015968,0.06109966844443332,6774.924632196253,44.68947646567449,0.5461024390016035,4.693513631820679,0.06109966844443332,6774.924632196253
61,dummy-lora-7b-rank-8-43,749,5,4.804184198379517,4.692049264907837,0.0,53181,69,0,2,18182,1,501,1,2000,2,1,44.58913779319964,0.5453667826884989,0.041194588054119456,0.0,0.00998003992015968,0.06115466789443882,6768.631117007705,43.862292674226,0.3993110313686902,4.694370627403259,0.04819082547697477,4164.348235127999
62,dummy-lora-7b-rank-8-46,89,4,4.775790691375732,4.692042350769043,0.0,40664,70,0,2,18182,1,501,1,2000,2,2,47.762140372253505,0.2491155618321414,0.004894951050489495,0.0,0.007984031936127744,0.020863014922744984,1158.2319040271475,16.053275085991245,0.09900346449640765,59.62956623733044,0.11451496537870065,977.1559562816298
63,dummy-lora-7b-rank-8-44,89,3,4.7269062995910645,4.670063018798828,0.0,40667,71,0,2,18182,1,501,1,2000,1,1,52.77668632401916,0.2967984732680201,0.004894951050489495,0.0,0.005988023952095809,0.016870998954681114,1671.26173359394,992.7574800159944,12.129870606199004,131.56644065930294,0.05369877530142271,165064.4114634325
64,dummy-lora-7b-rank-8-14,205,6,4.808072328567505,4.669344186782837,0.0,40666,72,0,2,18182,1,501,1,2000,3,1,43.250056713893876,0.25392816919720296,0.01127488725112749,0.0,0.011976047904191617,0.035226983059510726,1564.2103844858284,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
65,dummy-lora-7b-rank-8-44,768,3,4.724448442459106,4.667967796325684,0.0,40665,73,0,2,18182,1,501,1,2000,1,1,53.1155396649185,0.9598974023835383,0.042239577604223956,0.0,0.005988023952095809,0.05421562550841558,13703.809233548973,992.7574800159944,12.129870606199004,131.56644065930294,0.05369877530142271,165064.4114634325
66,dummy-lora-7b-rank-8-46,747,3,4.723129987716675,4.666340351104736,0.0,40664,74,0,2,18182,1,501,1,2000,2,1,52.82653982274878,0.9343366188602363,0.04108458915410846,0.0,0.005988023952095809,0.05306063705830008,13259.461495509944,16.053275085991245,0.09900346449640765,59.62956623733044,0.11451496537870065,977.1559562816298
67,dummy-lora-7b-rank-8-47,155,15,6.034313440322876,4.665821075439453,0.0,40663,75,0,2,4476,1,400,1,2000,1,1,10.960967254850413,0.08010942257901545,0.03462913315460232,0.0,0.0375,0.10962913315460232,135.18526280982175,10.960967254850413,0.08010942257901545,4.665821075439453,0.10962913315460232,135.18526280982175
68,dummy-lora-7b-rank-8-48,175,8,4.85858416557312,4.664774656295776,0.0,40662,76,0,2,4476,1,400,1,2000,1,1,41.27764437271188,0.40811933684413865,0.03909740840035746,0.0,0.02,0.07909740840035746,985.5037593984962,41.27764437271188,0.40811933684413865,4.664774656295776,0.07909740840035746,985.5037593984962
69,dummy-lora-7b-rank-8-49,549,17,6.084141969680786,4.662567615509033,0.0,40661,77,0,2,4476,1,400,1,2000,1,1,11.958572515121555,0.1460733692097051,0.12265415549597855,0.0,0.0425,0.20765415549597854,410.10869272446274,11.958572515121555,0.1460733692097051,4.662567615509033,0.20765415549597854,410.10869272446274
70,dummy-lora-7b-rank-8-50,1043,8,4.856163024902344,4.661472797393799,0.0,53179,78,0,2,18182,1,501,1,2000,2,2,41.09091710650387,0.45868020826226646,0.05736442635573644,0.0,0.015968063872255488,0.08930055410024743,5439.41015197345,41.09091710650387,0.45868020826226646,4.661472797393799,0.08930055410024743,5439.41015197345
71,dummy-lora-7b-rank-8-51,164,20,6.218524217605591,4.661521434783936,0.0,40660,79,0,2,4476,1,400,1,2000,1,1,12.845192199178545,0.0877582612714209,0.03663985701519214,0.0,0.05,0.13663985701519216,131.02096043162115,12.845192199178545,0.0877582612714209,4.661521434783936,0.13663985701519216,131.02096043162115
72,dummy-lora-7b-rank-8-52,514,8,4.854129791259766,4.659759044647217,0.0,29127,80,0,2,4476,1,400,1,2000,1,1,41.15845691505673,0.7965945314011093,0.11483467381590706,0.0,0.02,0.15483467381590707,2726.7477706225086,41.279369173742765,0.785592086884497,134.30920543670655,0.15583467381590704,2675.036637134131
73,dummy-lora-7b-rank-8-53,390,50,9.817919969558716,4.659299612045288,0.0,29126,81,0,2,4476,1,400,1,2000,2,1,9.692513993043896,0.06535300989947827,0.0871313672922252,0.0,0.125,0.3371313672922252,94.98663713183018,10.42261874545845,0.07507771808779888,68.33548355102539,0.2921313672922252,123.6348961285446
74,dummy-lora-7b-rank-8-54,209,12,5.924602508544922,4.657605171203613,0.0,29125,82,0,2,4476,1,400,1,2000,1,1,9.471211695820157,0.08420970839767415,0.0466934763181412,0.0,0.03,0.10669347631814119,183.89936042717474,9.471211695820157,0.08420970839767415,4.657605171203613,0.10669347631814119,183.89936042717474
75,dummy-lora-7b-rank-8-55,539,22,7.118388891220093,4.656063556671143,0.0,29124,83,0,2,4476,1,400,1,2000,1,1,8.934643887758224,0.09357821837759284,0.12042001787310098,0.0,0.055,0.23042001787310099,236.7680630255929,8.934643887758224,0.09357821837759284,4.656063556671143,0.23042001787310099,236.7680630255929
76,dummy-lora-7b-rank-8-14,176,6,4.794658660888672,4.65552282333374,0.0,29123,84,0,2,3510,1,263,1,2000,1,1,43.12332541665381,0.6883188993669238,0.05014245014245014,0.0,0.022813688212927757,0.09576982656830565,1351.1975297218196,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
77,dummy-lora-7b-rank-8-14,263,29,7.29036808013916,4.65361762046814,0.0,29122,85,0,2,3510,1,263,1,2000,1,1,10.99838624987601,0.11205500817747983,0.07492877492877494,0.0,0.11026615969581749,0.2954610943204099,121.74075814517929,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
78,dummy-lora-7b-rank-8-14,155,12,5.920357704162598,4.653936862945557,0.0,29121,86,0,2,3510,1,263,1,2000,1,1,9.475523151109783,0.10692677552678374,0.04415954415954416,0.0,0.045627376425855515,0.13541429701125518,141.3432203373876,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
79,dummy-lora-7b-rank-8-14,87,6,4.791405439376831,4.652234554290772,0.0,29120,87,0,2,3510,1,263,1,2000,1,1,43.11246563021999,0.5059513789011171,0.024786324786324785,0.0,0.022813688212927757,0.0704137012121803,711.3556828986298,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
80,dummy-lora-7b-rank-8-14,16,1,4.651972532272339,4.651743412017822,0.0,29119,88,0,2,3510,1,263,1,2000,1,1,4364.520291363164,53.085517566784304,0.004558404558404558,0.0,0.0038022813688212928,0.012162967296047144,78561.36524453694,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
81,dummy-lora-7b-rank-8-14,136,16,6.043031930923462,4.650240659713745,0.0,6116,89,0,2,3510,1,263,1,2000,1,1,11.48772276990443,0.11517838018139423,0.038746438746438745,0.0,0.060836501901140684,0.16041944254872012,120.62108908399651,1000.2782800128022,194.7509917670654,131.2421481259664,0.15361701296388244,124697.4397278188
